,0
663,16.58
664,24.804
665,18.397
666,17.222
667,16.011
668,15.948
669,16.565
670,23.705
671,14.793
672,22.372
673,20.04
674,19.969
675,14.81
676,17.998
677,15.681
678,15.672
679,12.355
680,13.223
681,17.321
682,19.606
683,14.027
684,27.609
685,22.105
686,20.114
687,14.096
688,29.207
689,18.968
690,22.129
691,23.598
692,20.89
693,20.273
694,15.402
695,17.842
696,19.953
697,18.44
698,21.895
699,22.32
700,12.78
701,12.253
702,15.731
703,15.155
704,20.887
705,14.105
706,14.753
707,12.768
708,13.786
709,16.334
710,14.9
711,15.253
712,111.017
713,19.75
714,11.556
715,12.932
716,13.075
717,14.197
718,21.509
719,12.595
720,18.235
721,20.951
722,23.266
723,17.731
724,22.064
725,18.388
726,19.801
727,18.337
728,22.439
729,23.071
730,22.636
731,25.068
732,20.907
733,23.914
734,24.186
735,31.914
736,31.791
737,21.105
738,40.894
739,26.678
740,25.689
741,22.266
742,23.003
743,21.661
744,22.99
745,13.922
746,20.129
747,19.329
748,23.111
749,12.272
750,19.102
751,20.612
752,23.082
753,27.275
754,21.402
755,18.263
756,15.776
757,26.007
758,14.141
759,14.11
760,18.159
761,14.956
762,22.819
763,22.196
764,23.439
765,21.481
766,14.99
767,16.478
768,24.12
769,21.083
770,23.121
771,21.901
772,22.573
773,12.347
774,11.935
775,28.161
776,24.274
777,15.148
778,23.936
779,15.472
780,15.035
781,15.784
782,15.049
783,19.182
784,22.364
785,21.555
786,23.158
787,19.698
788,29.129
789,16.302
790,22.623
791,25.085
792,14.698
793,12.652
794,23.974
795,24.708
796,22.152
797,21.509
798,19.56
799,19.833
800,16.777
801,17.438
802,21.254
803,19.659
804,18.158
805,20.805
806,23.219
807,22.571
808,21.981
809,13.558
810,24.331
811,22.288
812,21.814
813,25.805
814,22.824
815,23.089
816,29.284
817,23.927
818,15.405
819,14.55
820,22.363
821,23.241
822,21.625
823,21.944
824,19.38
825,22.666
826,24.357
827,20.199
828,19.487
829,26.092
830,21.75
831,13.552
832,16.574
833,16.642
834,19.878
835,20.823
836,25.266
837,17.633
838,21.088
839,23.799
840,22.277
841,17.269
842,14.167
843,16.338
844,24.252
845,24.318
846,18.972
847,18.588
848,18.139
849,17.175
850,18.898
851,21.204
852,24.782
853,27.046
854,24.791
855,21.855
856,18.894
857,30.938
858,21.013
859,31.686
860,22.208
861,32.523
862,24.323
863,20.004
864,17.852
865,24.623
866,23.824
867,24.361
868,24.037
869,14.782
870,13.214
871,15.422
872,15.009
873,25.289
874,20.808
875,21.536
876,19.078
877,18.268
878,23.347
879,24.336
880,13.883
881,18.764
882,19.477
883,28.568
884,20.857
885,23.832
886,20.623
887,13.284
888,15.565
889,19.308
890,18.784
891,29.015
892,26.191
893,17.033
894,17.157
895,16.865
896,22.614
897,23.656
898,22.025
899,23.866
900,27.971
901,16.15
902,15.958
903,13.791
904,16.883
905,15.349
906,21.787
907,14.43
908,20.684
909,19.311
910,23.118
911,26.569
912,28.735
913,20.973
914,23.857
915,19.708
916,41.677
917,31.032
918,24.0
919,20.469
920,35.518
921,28.991
922,25.125
923,20.903
924,26.098
925,25.61
926,25.811
927,20.879
928,14.845
929,19.147
930,22.409
931,18.51
932,17.659
933,26.665
934,21.379
935,23.878
936,21.675
937,23.865
938,14.402
939,35.753
940,24.887
941,21.454
942,23.785
943,26.718
944,28.882
945,23.569
946,21.786
947,33.713
948,16.465
949,15.483
950,22.295
951,21.162
952,23.627
953,23.814
954,23.639
955,36.504
956,21.767
957,23.349
958,24.844
959,22.881
960,22.096
961,25.82
962,22.235
963,22.946
964,24.375
965,23.233
966,22.491
967,22.188
968,23.205
969,22.488
970,24.593
971,24.988
972,23.351
973,37.881
974,23.171
975,34.052
976,22.416
977,24.159
978,26.582
979,26.176
980,26.844
981,23.03
982,24.381
983,24.842
984,22.898
985,22.273
986,22.971
987,20.521
988,24.64
989,27.219
990,24.22
991,23.11
992,22.193
993,23.756
994,26.848
995,32.426
996,22.537
997,23.423
998,21.957
