rid,ttr
119,0.06464171409606934
120,0.07496905326843262
121,0.0770108699798584
122,0.08214092254638672
123,0.08038973808288574
124,0.06542706489562988
125,0.09024500846862793
126,0.07321977615356445
127,0.06772279739379883
128,0.07046723365783691
129,0.06621527671813965
130,0.06667590141296387
131,0.05693793296813965
132,0.06612086296081543
133,0.0744161605834961
134,0.06856989860534668
135,0.07042503356933594
136,0.06592798233032227
137,0.06803607940673828
138,0.060440778732299805
139,0.055419206619262695
140,0.03519105911254883
141,0.06460905075073242
142,0.06240701675415039
143,0.06695294380187988
144,0.0699148178100586
145,0.07023787498474121
146,0.06501293182373047
147,0.06732583045959473
148,0.07909798622131348
149,0.06824302673339844
150,0.07273006439208984
151,0.06360387802124023
152,0.06941604614257812
153,0.0689997673034668
154,0.07665705680847168
155,0.06892800331115723
156,0.0664358139038086
157,0.06848382949829102
158,0.06758594512939453
159,0.06172299385070801
160,0.07035374641418457
161,0.06773018836975098
162,0.06639909744262695
163,0.06614494323730469
164,0.06620907783508301
165,0.07673311233520508
166,0.06774711608886719
167,0.06620001792907715
168,0.0639338493347168
169,0.06921696662902832
170,0.07981681823730469
171,0.07029986381530762
172,0.06820797920227051
173,0.038040876388549805
174,0.06657099723815918
175,0.0686492919921875
176,0.0612339973449707
177,0.043949127197265625
178,0.06737303733825684
179,0.06802201271057129
180,0.06862306594848633
181,0.06708502769470215
182,0.05929708480834961
183,0.06670594215393066
184,0.06666707992553711
185,0.06746768951416016
186,0.06417298316955566
187,0.06886100769042969
188,0.06234169006347656
189,0.060838937759399414
190,0.06226825714111328
191,0.06847214698791504
192,0.0705406665802002
193,0.07137489318847656
194,0.06975364685058594
195,0.07182598114013672
196,0.06822681427001953
197,0.06830573081970215
198,0.07345318794250488
199,0.06543397903442383
200,0.06934690475463867
201,0.06923198699951172
202,0.06443595886230469
203,0.08675026893615723
204,0.07074403762817383
205,0.07629680633544922
206,0.06701016426086426
207,0.0662388801574707
208,0.06553196907043457
209,0.06646895408630371
210,0.06419086456298828
211,0.06622195243835449
212,0.061371803283691406
